127.0.0.1, 2019-08-23 11:34:02, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.146000
127.0.0.1, 2019-08-23 11:34:02, GET, /admin/static/_2.18.5/images/save_icon.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-08-23 11:34:02, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.329000
127.0.0.1, 2019-08-23 11:34:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.355000
127.0.0.1, 2019-08-23 11:34:02, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.381000
127.0.0.1, 2019-08-23 11:34:02, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 0.741000
127.0.0.1, 2019-08-23 11:35:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.036000
127.0.0.1, 2019-08-23 11:35:03, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 1.431000
127.0.0.1, 2019-08-23 11:36:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.042000
127.0.0.1, 2019-08-23 11:36:03, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 1.466000
127.0.0.1, 2019-08-23 11:37:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045000
127.0.0.1, 2019-08-23 11:37:03, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 200, 1.344000
127.0.0.1, 2019-08-23 11:37:31, POST, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.052000
127.0.0.1, 2019-08-23 11:38:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.031000
127.0.0.1, 2019-08-23 11:38:04, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 2.176000
127.0.0.1, 2019-08-23 11:39:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.041000
127.0.0.1, 2019-08-23 11:39:03, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 1.357000
127.0.0.1, 2019-08-23 11:40:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074000
127.0.0.1, 2019-08-23 11:40:03, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 1.383000
127.0.0.1, 2019-08-23 11:41:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.072000
127.0.0.1, 2019-08-23 11:41:03, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 1.499000
127.0.0.1, 2019-08-23 11:42:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.085000
127.0.0.1, 2019-08-23 11:42:03, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 1.406000
127.0.0.1, 2019-08-23 11:43:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.034000
127.0.0.1, 2019-08-23 11:43:02, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 0.309000
127.0.0.1, 2019-08-23 11:44:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047000
127.0.0.1, 2019-08-23 11:44:02, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 0.378000
127.0.0.1, 2019-08-23 11:44:29, POST, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.056000
127.0.0.1, 2019-08-23 11:45:02, POST, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.125000
127.0.0.1, 2019-08-23 11:45:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.213000
127.0.0.1, 2019-08-23 11:45:02, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 0.401000
127.0.0.1, 2019-08-23 11:45:49, POST, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.050000
127.0.0.1, 2019-08-23 11:46:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080000
127.0.0.1, 2019-08-23 11:46:03, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 1.496000
127.0.0.1, 2019-08-23 11:46:04, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.478000
127.0.0.1, 2019-08-23 11:46:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:46:07, GET, /Shots_Manager/appadmin/index, HTTP/1.1, 500, 0.294000
127.0.0.1, 2019-08-23 11:46:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:46:11, GET, /admin/default/ticket/Shots_Manager/127.0.0.1.2019-08-23.11-46-07.7ba1e7c5-8ea2-43c4-8c7a-c139c168b495, HTTP/1.1, 200, 0.084000
127.0.0.1, 2019-08-23 11:46:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-08-23 11:49:09, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.713000
127.0.0.1, 2019-08-23 11:49:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:49:12, GET, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.108000
127.0.0.1, 2019-08-23 11:49:13, GET, /favicon.ico, HTTP/1.1, 400, 0.011000
127.0.0.1, 2019-08-23 11:49:13, GET, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.305000
127.0.0.1, 2019-08-23 11:49:13, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.405000
127.0.0.1, 2019-08-23 11:49:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.508000
127.0.0.1, 2019-08-23 11:49:14, GET, /admin/default/files_menu, HTTP/1.1, 200, 1.113000
127.0.0.1, 2019-08-23 11:49:14, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.817000
127.0.0.1, 2019-08-23 11:49:14, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 1.456000
127.0.0.1, 2019-08-23 11:49:31, POST, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.068000
127.0.0.1, 2019-08-23 11:49:34, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.623000
127.0.0.1, 2019-08-23 11:49:34, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:49:36, GET, /Shots_Manager/appadmin/index, HTTP/1.1, 500, 0.461000
127.0.0.1, 2019-08-23 11:49:36, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-08-23 11:49:38, GET, /admin/default/ticket/Shots_Manager/127.0.0.1.2019-08-23.11-49-35.1599d0ca-6bb8-496e-a1f8-a69b60503e10, HTTP/1.1, 200, 0.203000
127.0.0.1, 2019-08-23 11:49:38, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:50:19, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.514000
127.0.0.1, 2019-08-23 11:50:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:50:21, GET, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.171000
127.0.0.1, 2019-08-23 11:50:22, GET, /favicon.ico, HTTP/1.1, 400, 0.021000
127.0.0.1, 2019-08-23 11:50:22, GET, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.199000
127.0.0.1, 2019-08-23 11:50:22, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.230000
127.0.0.1, 2019-08-23 11:50:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.308000
127.0.0.1, 2019-08-23 11:50:22, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.877000
127.0.0.1, 2019-08-23 11:50:22, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.725000
127.0.0.1, 2019-08-23 11:50:24, GET, /Shots_Manager/appadmin/hooks, HTTP/1.1, 500, 2.313000
127.0.0.1, 2019-08-23 11:50:51, POST, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.052000
127.0.0.1, 2019-08-23 11:50:54, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.427000
127.0.0.1, 2019-08-23 11:50:55, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:50:56, GET, /Shots_Manager/appadmin/index, HTTP/1.1, 500, 0.302000
127.0.0.1, 2019-08-23 11:50:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:50:58, GET, /admin/default/ticket/Shots_Manager/127.0.0.1.2019-08-23.11-50-56.216e3544-2b71-45ff-9e5d-145128017838, HTTP/1.1, 200, 0.139000
127.0.0.1, 2019-08-23 11:50:58, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:51:16, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.537000
127.0.0.1, 2019-08-23 11:51:16, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-08-23 11:51:18, GET, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.118000
127.0.0.1, 2019-08-23 11:51:18, GET, /favicon.ico, HTTP/1.1, 400, 0.008000
127.0.0.1, 2019-08-23 11:51:19, GET, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.172000
127.0.0.1, 2019-08-23 11:51:19, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.212000
